id,code,amount,status,batch_id,created_at
10-05047,TATA10-QJAD-74WL-S7T4,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-09303,TATA10-F3AR-VHPP-7T2N,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-09680,TATA10-TNRX-ABWW-GCWP,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-09905,TATA10-UVRR-2F3D-KY8T,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-01783,TATA10-3JFS-M62G-84S2,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-06066,TATA10-H3ZM-YEMN-A5TH,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
50-00095,TATA50-V3YY-K6ZT-28XK,50,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-09547,TATA10-R2ZN-2PCC-YPRA,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-03383,TATA10-H82P-EA2L-WTC5,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-04410,TATA10-7LKR-CJ7U-YM5W,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-04904,TATA10-5QZH-9G2X-RGV3,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-09387,TATA10-ZCN5-YVC8-PMJ5,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-03335,TATA10-ETUZ-XTP3-2R93,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-03319,TATA10-VUCC-5ATE-YPFG,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-08096,TATA10-V2U8-6TJK-9HJ5,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-05084,TATA10-KS76-VFV5-B7D4,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-05006,TATA10-9ATD-NT9Q-7NK3,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-02479,TATA10-Y3VM-9KWQ-J89N,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-05019,TATA10-33V8-U9TH-2BGA,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-03526,TATA10-YQSY-VMSP-4VZ7,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-05092,TATA10-2X65-YMPM-ZU2Q,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-08881,TATA10-9XTT-2DMU-XB2A,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-03578,TATA10-9AHL-95CN-3233,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-00930,TATA10-28XA-UL3P-M2GY,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-08470,TATA10-6UA9-57NZ-UNVU,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-05831,TATA10-WKN2-XKGY-PCEW,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-05713,TATA10-P7TA-NEY5-M2PH,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-03769,TATA10-T7ZT-WVP5-XL2H,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-06112,TATA10-LMZ5-J2X8-V2L6,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-00558,TATA10-RWJ5-A9DX-U9TE,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-02345,TATA10-YLMZ-V43U-BZG4,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-06810,TATA10-XXAK-57GB-5VRB,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-08313,TATA10-QT6M-C6RX-BRW4,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
10-04301,TATA10-EAJL-PEHE-6VU6,10,available,tata-silent-2026-preview,2026-07-06T00:00:00+08:00
